,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V
2018-06-06,48.5,147.1117401123047,91.48171997070312,357.6170654296875,133.0624237060547,134.1389923095703,35.39024353027344,89.98660278320312,97.48287200927734,196.82933044433594,162.24832153320312,100.17385864257812,48.47944641113281,100.19869232177734,90.0159912109375,34.4106330871582,137.1238555908203,131.01376342773438,44.808114757974636,95.29395294189453,68.29389190673828,61.601478576660156,109.25373840332031,220.97933959960938,129.61911010742188
2018-06-07,48.375,146.91139221191406,91.94380950927734,354.7007751464844,132.8754425048828,131.52647399902344,34.902488708496094,92.59764862060547,98.01853942871094,197.86338806152344,164.41061401367188,100.62380981445312,55.9,100.63935089111328,90.37492370605469,34.394805908203125,143.1195526123047,131.7913818359375,44.851528779240965,93.79696655273438,68.30304718017578,62.76972198486328,110.7645263671875,221.2726287841797,127.2983627319336
2018-06-08,47.8775,147.71286010742188,91.50888061523438,355.63433837890625,132.05072021484375,132.13999938964844,34.76656723022461,92.2184066772461,99.46294403076172,197.81253051757812,166.22091674804688,101.16372680664062,55.005,101.23505401611328,90.62776184082031,34.798622131347656,142.6382598876953,132.7682647705078,45.27841815511689,94.49433135986328,68.43096160888672,63.946250915527344,112.08753967285156,222.783447265625,128.1543426513672
2018-06-11,47.79,147.96133422851562,91.69009399414062,357.02032470703125,156.35,132.58531188964844,34.93448257446289,93.03527069091797,99.8168716430664,234.13,167.31883239746094,101.46835327148438,54.5,100.09261322021484,90.39936828613281,34.941139221191406,140.59461975097656,131.82351684570312,45.097529433155785,93.95503997802734,68.1477279663086,64.2362289428711,111.38760375976562,225.53846740722656,133.88
2018-06-12,48.08,148.33001708984375,91.2642593383789,356.71234130859375,157.485,134.84156799316406,35.13438034057617,92.68519592285156,99.79774475097656,232.635,168.71844482421875,101.66908264160156,54.82,99.99468994140625,89.87735748291016,35.16282272338867,140.79727172851562,131.69500732421875,45.177117558836024,94.19679260253906,74.3,63.995948791503906,110.60234832763672,225.3607177734375,134.88
2018-06-13,47.66625,147.2159423828125,90.62097930908203,350.1964111328125,154.7,135.07908630371094,35.19035339355469,92.67788696289062,101.69173431396484,233.89,167.88040161132812,101.30911254882812,54.995,100.068115234375,89.69790649414062,34.98073196411133,140.67059326171875,131.67572021484375,45.285636232099456,93.76908874511719,74.12,63.35798645019531,110.7218246459961,224.7297821044922,134.34
2018-06-14,47.7125,148.90704345703125,90.38543701171875,348.8200988769531,153.075,136.96920776367188,35.73408126831055,92.26946258544922,104.02572631835938,233.61,167.3439483642578,100.5130615234375,55.545,99.88862609863281,88.11552429199219,34.81296157836914,141.06748962402344,130.86595153808594,44.88462710198555,94.29905700683594,74.73,62.96028137207031,109.98780822753906,226.91598510742188,135.03
2018-06-15,47.2675,148.28189086914062,89.26195526123047,344.45037841796875,149.98,136.96920776367188,35.38226318359375,90.46795654296875,104.12139129638672,231.94,168.0730743408203,100.64457702636719,55.1,100.05181121826172,88.00947570800781,35.24433135986328,140.5692596435547,131.7271270751953,45.2273164996664,93.09963989257812,75.835,64.11195373535156,110.42310333251953,228.29835510253906,135.01
2018-06-18,47.185,147.43231201171875,89.21663665771484,341.42828369140625,148.64,138.3447265625,35.35028076171875,91.87562561035156,102.40914154052734,231.385,168.19882202148438,100.01463317871094,53.215,98.99915313720703,88.23787689208984,34.78901290893555,140.4173126220703,131.21302795410156,44.46901801888269,93.77839660644531,75.605,62.83601379394531,108.90377807617188,227.30844116210938,136.19
2018-06-19,46.4375,149.2276153564453,88.01165771484375,328.3193054199219,143.265,138.0676727294922,35.038429260253906,91.56199645996094,101.49083709716797,228.195,166.95843505859375,99.61314392089844,52.91,100.01918029785156,87.7240219116211,34.82895278930664,139.31103515625,128.1410369873047,44.49819244501245,93.77839660644531,74.27,63.24199676513672,109.39031982421875,225.6584930419922,135.12
